SUBSTÂNCIA,CÓDIGO GGREM,PMC Sem Imposto
21-ACETATO DE DEXAMETASONA;CLOTRIMAZOL,538912020009303,35.65
ABEMACICLIBE,507619060021902,3753.73
ABROCITINIBE,522723100092502,2951.19
ACALABRUTINIBE,502319040034002,51812.61
ACARBOSE,531619040086803,35.45
ACEBROFILINA,508017401132117,24.69
ACECLOFENACO,508011303163310,36.88
ACEPONATO DE METILPREDNISOLONA,541121020002517,62.85
ACETATO DE ABIRATERONA,523719020039704,14515.85
ACETATO DE BAZEDOXIFENO;ESTROGÊNIOS CONJUGADOS,522718110082501,83.9
ACETATO DE CETRORRELIX,525421701150311,348.49
ACETATO DE CIPROTERONA,519508101118111,123.04
ACETATO DE CIPROTERONA;ETINILESTRADIOL,508014103114418,29.18
ACETATO DE CIPROTERONA;VALERATO DE ESTRADIOL,533022100081617,34.15
ACETATO DE CLORMADINONA;ETINILESTRADIOL,508020070132607,34.92
ACETATO DE DEGARELIX,521416070006103,789.94
ACETATO DE DESMOPRESSINA,519507902176111,209.33
ACETATO DE DEXAMETASONA,507739001166111,11.13
ACETATO DE DEXTROALFATOCOFEROL;ÁCIDO FÓLICO,504113501115313,108.47
ACETATO DE FLUDROCORTISONA,505618010042617,340.97
ACETATO DE FLUORMETOLONA,500901601170311,29.86
ACETATO DE GANIRRELIX,525522070024717,405.65
ACETATO DE GLATIRÂMER,537500101151219,7863.73
ACETATO DE GOSSERRELINA,502320020033607,1117.51
ACETATO DE HIDROCORTISONA,520729802163114,11.33
ACETATO DE ICATIBANTO,501121040039017,9027.91
ACETATO DE LANREOTIDA,539214010000603,4447.16
ACETATO DE LEUPRORRELINA,511513501158415,843.07
ACETATO DE MEDROXIPROGESTERONA,533026207158411,42.99
ACETATO DE MEDROXIPROGESTERONA;CIPIONATO DE ESTRADIOL,567223100000403,1817.37
ACETATO DE MEGESTROL,519507001111419,288.79
ACETATO DE METILPREDNISOLONA,533022701158416,22.58
ACETATO DE NOMEGESTROL,537512080004304,63.07
